title,url,category,price,count_review,address,count_photo,rating,rating_by_category,normalized_rating
Ла Мелия,https://www.tripadvisor.ru/Hotel_Review-g608960-d10437966-Reviews-La_Melia-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,333,"Проезд Золотистый, 7, Анапа 353456 Россия",224,5.0,2.339908952959029,2.339908952959029
"Гостевой дом ""Золотистый""",https://www.tripadvisor.ru/Hotel_Review-g608960-d10701737-Reviews-Guest_House_Zolotistyy-Anapa_Krasnodar_Krai_Southern_District.html,Гостиница особого типа,,30,"Проезд Золотистый, 8 Пионерский проспект, Анапа 353456 Россия",17,5.0,2.8095238095238093,1.1158867516985878
ОтельАтлас Dublin&Dolphin,https://www.tripadvisor.ru/Hotel_Review-g608960-d9459695-Reviews-Hotel_Atlas_Dublin_Dolphin-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,63,"ул. Ростовская, д. 7, Анапа 353456 Россия",28,4.0,1.0316778083090679,1.0316778083090679
Утесов,https://www.tripadvisor.ru/Hotel_Review-g608960-d12247330-Reviews-Utesov_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,53,"ул. Маяковского, 2Б проезд Крутой, 2, Анапа 353454 Россия",81,4.0,2.8,1.0820726644702365
Отель Белый пляж,https://www.tripadvisor.ru/Hotel_Review-g608960-d3308053-Reviews-Bely_Plyazh_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,86,"Джеметинский проезд, 8б, Анапа 353450 Россия",80,4.0,1.179654312886483,1.179654312886483
Дилуч,https://www.tripadvisor.ru/Hotel_Review-g608960-d6516791-Reviews-Diluch-Anapa_Krasnodar_Krai_Southern_District.html,Российский санаторий,,107,"Пушкина, 22, Анапа 353440 Россия",47,4.0,1.986884236453202,1.1926415034154032
"Люкс отель ""Три мушкетера""",https://www.tripadvisor.ru/Hotel_Review-g608960-d6592895-Reviews-Luxury_Hotel_Tri_Mushketera-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,17,"ул. Горького, 34, Анапа 353440 Россия",18,4.5,1.4429769392033545,0.9783651633424015
Alean Family Resort & Spa Riviera,https://www.tripadvisor.ru/Hotel_Review-g608960-d2706262-Reviews-Alean_Family_Resort_Spa_Riviera-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,1,"Пионерский проспект, д. 28, Анапа 353410 Россия",562,4.5,1.7558102867662808,1.7558102867662808
Отель Мандарин,https://www.tripadvisor.ru/Hotel_Review-g608960-d2265274-Reviews-Mandarin_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,89,"Пионерский проспект, 20A, Анапа 353440 Россия",58,4.5,1.25527940687273,1.25527940687273
Пансионат Селена,https://www.tripadvisor.ru/Hotel_Review-g608960-d2335022-Reviews-Pension_Selena-Anapa_Krasnodar_Krai_Southern_District.html,Гостевой дом,,65,"пр. Пионерский, 249A, Анапа 353456 Россия",117,4.5,2.9,1.2727369250889737
Пансионат Анапа Лазурная,https://www.tripadvisor.ru/Hotel_Review-g608960-d2706550-Reviews-Anapa_Lazurnaya_Pension-Anapa_Krasnodar_Krai_Southern_District.html,Российский пансионат,,42,"Пионерский проспект, 34, Анапа 353440 Россия",50,4.5,1.2346238038651574,1.1019986602687664
Sea Breeze Resort,https://www.tripadvisor.ru/Hotel_Review-g608960-d12393347-Reviews-Sea_Breeze_Resort-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,39,"ул. Верхняя дорога, 141, Анапа 353456 Россия",120,4.5,1.199211199059454,1.199211199059454
Гостевой Дом На Самбурова,https://www.tripadvisor.ru/Hotel_Review-g608960-d6819368-Reviews-Na_Samburova_Guesthouse-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,31,"ул. Самбурова, 213, Анапа 353440 Россия",22,5.0,1.1264770081158548,1.1264770081158548
"Отель ""Де Париж""",https://www.tripadvisor.ru/Hotel_Review-g608960-d4686351-Reviews-Hotel_De_Paris-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,29,"Терская ул., 154, Анапа 353440 Россия",44,4.5,1.9903796878639646,1.0538549171326106
Дюны Золотые,https://www.tripadvisor.ru/Hotel_Review-g608960-d6899838-Reviews-Dyuny_Zolotye_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,38,"Пионерский пр., 223, Анапа 353440 Россия",47,4.0,0.9854342962081961,0.9854342962081961
"Мини-гостиница ""Легион""",https://www.tripadvisor.ru/Hotel_Review-g608960-d6570954-Reviews-Legion-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,15,"Пионерский проспект 133/2 Джемете, Анапа 353452 Россия",27,4.5,2.346933962264151,0.9860162134820708
Пансионат Ласточка,https://www.tripadvisor.ru/Hotel_Review-g608960-d2334873-Reviews-Lastochka_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,42,"Пионерский пр-т, 24, Анапа 353456 Россия",46,4.5,1.0959288575373551,1.0959288575373551
Гостиница Садко,https://www.tripadvisor.ru/Hotel_Review-g608960-d9587748-Reviews-Hotel_Sadko-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,15,"Шевченко улица д.79, Анапа 353440 Россия",12,4.5,0.9632544532392787,0.9632544532392787
