url,Category AN,title,category,count_review,rating,count_photo,cits,rating_by_category,normalized_rating,title_yandex,address,lat,lon
https://www.tripadvisor.ru/Attraction_Review-g608960-d7057933-Reviews-Kvadro_Kutok_ATV_Tour-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Квадро-Куток - Путешествие на квадроциклах,"Туры на полноприводных автомобилях, внедорожниках и автомобилях повышенной проходимости",1.0,4.0,,,0.890909090909091,0.8018148820326679,Квадро-Куток,"Россия, Краснодарский край, городской округ Город Анапа, хутор Нижняя Гостагайка",45.038668,37.347063
https://www.tripadvisor.ru/Attraction_Review-g608960-d8043775-Reviews-Submarina-Anapa_Krasnodar_Krai_Southern_District.html,бары и клубы,Субмарина,Боулинг,6.0,3.0,0.0,,0.6618556701030929,0.6108892921960073,Субмарина,"ул. Шевченко, 24, Анапа",44.888694,37.311759
https://www.tripadvisor.ru/Attraction_Review-g608960-d7264224-Reviews-Racetrack_Formula_1-Anapa_Krasnodar_Krai_Southern_District.html,бары и клубы,Автотрек Формула-1,Игровые и развлекательные центры,13.0,3.5,3.0,,0.8697349042709868,0.7318579292345998,Формула 1,"Россия, Краснодарский край, Анапа, парк 30 лет Победы",44.896295,37.315267
https://www.tripadvisor.ru/Attraction_Review-g608960-d10154013-Reviews-Wine_Club_Hello_Vino-Anapa_Krasnodar_Krai_Southern_District.html,бары и клубы,Винный клуб Hello Vino,Винные туры и дегустации ,3.0,3.5,,,0.7309278350515465,0.7054446460980037,La Cave,"ул. Карла Маркса, 41/1",52.288455,104.292469
https://www.tripadvisor.ru/Attraction_Review-g608960-d15114104-Reviews-Dom_Vverkh_Dnom-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Дом Вверх Дном,Культурные объекты и достопримечательности,2.0,3.0,5.0,,1.781818181818182,0.6174038687485315,Дом вверх дном,"ул. Горького, 5А, Анапа",44.896972,37.317412
https://www.tripadvisor.ru/Attraction_Review-g608960-d14984386-Reviews-5_HT_Wellness_Club-Anapa_Krasnodar_Krai_Southern_District.html,бары и клубы,Велнес клуб 5-HT,Оздоровительные клубы • Йога и пилатес,4.0,3.0,25.0,,0.9388561610211096,0.6761300515466496,Велнес клуб Серотонин,"ул. Ленина, 3, Анапа",44.896501,37.306287
https://www.tripadvisor.ru/Attraction_Review-g608960-d23277139-Reviews-Excursions_in_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Экскурсии в Анапе,Экскурсии по городу • Обзорные экскурсии,2.0,3.0,,,0.781818181818182,0.6036297640653359,Круиз,"Терская ул., 40, Анапа",44.891121,37.309486
https://www.tripadvisor.ru/Attraction_Review-g608960-d23277139-Reviews-Excursions_in_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Экскурсии в Анапе,Экскурсии по городу • Обзорные экскурсии,2.0,3.0,,,0.781818181818182,0.6036297640653359,Круиз,"Терская ул., 40, Анапа",44.891121,37.309486
https://www.tripadvisor.ru/Attraction_Review-g608960-d21008595-Reviews-Excursions_in_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Экскурсии в Анапе,Экскурсии по городу • Пешеходные экскурсии,,,,,0.0,0.0,Круиз,"Терская ул., 40, Анапа",44.891121,37.309486
https://www.tripadvisor.ru/Attraction_Review-g608960-d21008595-Reviews-Excursions_in_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Экскурсии в Анапе,Экскурсии по городу • Пешеходные экскурсии,,,,,0.0,0.0,Круиз,"Терская ул., 40, Анапа",44.891121,37.309486
https://www.tripadvisor.ru/Attraction_Review-g608960-d11890288-Reviews-The_Best_Tours_in_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Лучшие экскурсии в Анапе,Экскурсии по городу • Обзорные экскурсии,3.0,3.0,,,0.8727272727272728,0.6054446460980037,Круиз,"Терская ул., 40, Анапа",44.891121,37.309486
https://www.tripadvisor.ru/Attraction_Review-g608960-d19389510-Reviews-Anapa_Okean-Anapa_Krasnodar_Krai_Southern_District.html,культурные институции,Анапа-Океан,Театры,1.0,2.0,1.0,,0.4080626845332727,0.404569702969307,Анапа-Океан,"ул. Ленина, 3, Анапа",44.896591,37.306642
